Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Yellow2_X,Yellow2_Y,Pink2_X
57.9609,0.0011,0.0035,0.1801,0.2255,0.0308,0.0081,0.0174,0.1108,0.0191,0.0561,0.9068,0.1186,0.0196,0.0354,44.2447,0.0456,0.1298,0.0766,0.0065,0.0146,23.6624
58.0608,0.0024,0.0057,0.3115,0.1486,0.0261,0.0082,0.0174,0.1045,0.0366,0.0541,1.2436,0.1181,0.0205,0.0365,26.1996,0.0454,0.1282,0.0714,0.0069,0.0151,22.6322
58.1607,0.0036,0.0088,0.4616,0.1909,0.0238,0.0087,0.029,0.09,0.0508,0.0436,1.3244,0.1113,0.0196,0.0319,11.2546,0.0465,0.1296,0.0684,0.0053,0.0154,21.3802
58.2607,0.0046,0.0116,0.6205,0.0595,0.0254,0.0092,0.0352,0.075,0.055,0.026,1.1506,0.1018,0.0176,0.0255,23.2,0.0492,0.1352,0.0679,0.0022,0.0142,19.8967
58.3606,0.0051,0.0136,0.7815,0.1394,0.0296,0.0097,0.0332,0.0755,0.0479,0.0058,0.5423,0.0958,0.0163,0.0243,37.0862,0.0529,0.1437,0.07,0.0018,0.0122,18.1629
58.4605,0.0053,0.0146,0.9386,0.0738,0.034,0.01,0.0261,0.0982,0.0328,0.0126,0.2612,0.0981,0.0177,0.0301,42.4867,0.0566,0.1525,0.074,0.005,0.0109,16.1673
58.5605,0.005,0.0146,1.086,0.0936,0.0369,0.0102,0.0264,0.1303,0.0225,0.0242,1.0458,0.107,0.0216,0.0365,37.8352,0.0595,0.1593,0.0794,0.0069,0.0105,13.9325
58.6604,0.0043,0.0136,1.218,0.039,0.0375,0.0101,0.0411,0.1593,0.0336,0.0286,1.231,0.1165,0.0261,0.039,24.5042,0.0614,0.1626,0.0856,0.0071,0.01,11.5314
58.7603,0.0032,0.0115,1.3298,0.0561,0.0356,0.0099,0.0587,0.1779,0.0487,0.0303,1.1337,0.1216,0.0297,0.0368,6.6523,0.0623,0.1625,0.0924,0.0059,0.0085,9.0818
58.8603,0.0019,0.0088,1.4169,0.102,0.0315,0.0095,0.0706,0.1825,0.0556,0.0376,0.9265,0.1199,0.0314,0.0321,14.3414,0.0628,0.1606,0.1,0.005,0.0068,6.7198
