Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Orange_X,Yellow_X,Yellow_Y,Pink_X,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Pink2_X,Pink2_Y
53.364,0.4642,0.3928,0.0834,1.9668,1.0617,0.6486,4.0118,0.251,1.008,0.8705,1.2342,0.5131,1.2285,0.3207,0.23,0.0432,0.8772,0.5004,0.1549,0.263,0.5101
53.4639,0.5752,0.3972,0.2235,2.7637,1.0869,0.279,3.673,0.283,0.639,0.4537,1.7247,0.4893,1.4177,0.6275,0.1518,0.0293,0.5323,0.7891,0.2486,0.3894,0.7287
53.5638,0.4071,0.3839,0.1023,1.8843,0.5091,0.397,2.9142,0.2695,0.2618,1.1741,2.4887,0.1701,0.9108,0.3239,0.104,0.0545,0.7859,1.1929,0.2411,0.2616,0.517
53.6638,0.0784,0.1929,0.1513,2.2724,0.4177,0.3014,4.6386,0.2739,0.1475,0.7459,2.6568,0.7531,3.0483,0.3573,0.0778,0.055,0.9353,1.2442,0.2564,0.084,0.1245
53.7637,0.4632,0.2248,0.2126,3.0382,1.0297,0.5641,1.8567,0.2471,0.7202,0.457,2.9372,0.9285,4.048,0.3759,0.0997,0.0889,1.0792,1.0776,0.4861,0.2381,0.5512
53.8636,0.7172,0.5913,0.1647,1.9406,0.8589,0.4557,4.9363,0.2647,0.6967,0.5952,2.7249,0.4333,3.1918,0.1324,0.1644,0.1223,1.4614,1.143,0.5821,0.2326,0.6383
53.9636,0.7644,0.6029,0.2929,1.9018,0.0745,0.3301,1.1451,0.2781,1.3527,1.1986,2.5144,0.3167,2.3225,0.0639,0.1416,0.0939,0.8451,1.2232,0.5079,0.3234,0.8142
54.0635,0.5436,0.235,0.311,2.9172,0.6893,0.3799,5.0697,0.2728,0.832,0.4551,2.3857,0.6824,2.3189,0.2261,0.1568,0.0604,0.42,1.2045,0.3922,0.4159,0.9517
54.1634,0.1185,0.2056,0.1058,2.4964,0.7804,0.0304,2.4323,0.2696,0.7891,0.9466,1.7582,0.4538,1.0408,0.0853,0.1829,0.0751,0.5906,1.1417,0.0548,0.2629,0.5954
54.2634,0.6704,0.4121,0.1869,2.299,0.2124,0.5015,4.2782,0.2433,0.1295,0.3924,1.8814,0.4047,1.2643,0.2585,0.1226,0.0724,1.2989,1.2618,0.1106,0.1359,0.4691
54.3633,1.0211,0.472,0.2979,2.5075,0.6807,0.3649,3.2876,0.2757,0.7223,0.762,0.8423,0.79,2.8343,0.316,0.0968,0.1011,1.6026,1.4068,0.2764,0.2653,0.8575
54.4632,0.8847,0.5436,0.1975,1.8616,0.84,0.4868,3.5787,0.269,1.0141,0.5126,1.6129,0.6657,2.8544,0.2028,0.0826,0.1173,0.8834,1.1566,0.6662,0.2571,0.9133
54.5632,0.4568,0.4338,0.2921,2.5577,0.3303,0.6656,4.635,0.2822,1.2011,1.1028,1.933,0.2228,3.0295,0.3374,0.1447,0.0899,0.4893,1.0795,0.8714,0.3425,1.0893
54.6631,0.1631,0.2867,0.3893,3.2119,0.8725,0.2412,2.089,0.2545,0.7695,1.1736,1.2496,0.975,4.1935,0.2969,0.2561,0.0489,0.5979,1.432,0.9185,0.4109,1.1404
54.763,0.4064,0.3599,0.2039,2.3776,1.1458,0.8262,4.8013,0.2561,0.5551,1.0662,2.2761,1.2019,4.1133,0.3972,0.2547,0.0417,1.2222,1.5128,0.6867,0.2577,0.7322
54.863,0.7047,0.2689,0.1974,2.011,0.6409,1.0571,1.3793,0.2712,0.1929,0.9717,2.3645,0.6071,2.2268,0.5575,0.1712,0.0441,1.2052,1.3605,0.6568,0.1794,0.7472
