Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
6.5955,2.275,11.6443,0.6645,0.0392,1.8294,0.8556,0.1062,1.9521,1.6116,0.8085,0.1093,0.716,0.6196,0.6345,0.0485,2.6323,0.212,1.3728,3.1089,4.5387,0.8597,1.9467,0.3091
6.6955,2.9871,12.8324,0.63,0.042,1.5171,0.8083,0.943,2.7524,1.1336,0.796,0.1102,0.7151,0.5856,0.6312,0.0428,2.8937,0.2525,1.2976,3.2227,1.8816,0.3112,3.0898,0.1287
6.7954,2.6996,12.7854,0.5848,0.0434,1.777,0.7931,0.7045,1.836,1.5323,0.8132,0.1042,0.7137,0.5547,0.631,0.0365,3.5015,0.3301,1.2397,3.2875,2.3854,0.4263,3.1999,0.1274
6.8953,2.2715,10.3882,0.5352,0.0432,2.3714,0.8128,0.4338,2.7495,0.938,0.8535,0.092,0.7159,0.5306,0.6329,0.0308,1.4898,0.0507,1.2037,3.299,3.7993,0.6768,2.2711,0.3267
6.9953,2.834,12.9977,0.4881,0.0416,4.9237,0.8582,0.9583,1.2632,4.1882,0.9028,0.0754,0.7236,0.5154,0.6353,0.0269,1.3864,0.3781,1.1925,3.2549,1.5915,0.2068,0.6336,0.4368
7.0952,2.2224,10.1704,0.4499,0.0387,3.1132,0.9131,0.7909,1.655,3.0769,0.9471,0.0566,0.7352,0.5084,0.6355,0.0256,1.4842,0.4414,1.2059,3.1531,2.1943,0.4495,1.1907,0.418
7.1951,2.3098,11.0052,0.4242,0.0348,1.7087,0.9618,0.7127,0.9292,1.3785,0.9776,0.038,0.7468,0.5072,0.6308,0.027,2.2864,0.1592,1.2405,2.9924,3.0623,0.599,2.5734,0.2801
7.2951,2.6023,11.2939,0.4109,0.0304,1.1967,0.9925,0.7262,0.6898,0.8791,0.9912,0.0215,0.7543,0.5086,0.619,0.03,2.6146,0.4868,1.2882,2.7756,1.4698,0.234,3.0943,0.095
7.395,1.7841,9.1424,0.4069,0.026,1.7093,0.9986,0.5853,2.9672,1.5264,0.989,0.0081,0.7553,0.5102,0.5996,0.0339,2.6179,0.6334,1.3371,2.5174,2.0695,0.4059,2.6134,0.1932
7.4949,2.4875,10.7146,0.4078,0.022,2.3689,0.9788,0.1811,2.4102,1.5393,0.9739,0.0058,0.7504,0.5109,0.5741,0.0381,2.0587,0.3578,1.373,2.2534,2.4919,0.4685,1.3032,0.342
7.5949,2.0123,9.6979,0.4108,0.0191,4.4708,0.9369,0.7472,3.3231,4.5481,0.9484,0.0169,0.7429,0.5105,0.5463,0.0423,1.2057,0.5231,1.3834,2.0441,1.4687,0.2421,0.4119,0.3953
7.6948,1.8809,8.5469,0.4151,0.0174,2.4387,0.8813,0.2927,2.0468,2.6686,0.9134,0.0298,0.7367,0.5091,0.5216,0.0459,1.7229,0.7871,1.3618,1.9562,1.929,0.4271,1.9232,0.3191
7.7947,2.2609,10.335,0.422,0.0167,1.2733,0.8236,0.8407,2.0153,1.2569,0.8693,0.0439,0.7348,0.5064,0.5054,0.0484,2.2213,0.5663,1.3104,2.0118,1.9669,0.3957,2.7856,0.157
7.8947,1.5965,7.6339,0.4331,0.0168,1.6249,0.7762,0.4407,0.4669,1.1257,0.8183,0.0576,0.7365,0.5017,0.5003,0.0493,1.8626,0.4691,1.242,2.1598,1.5312,0.3017,2.7311,0.0588
7.9946,1.9496,9.0473,0.4491,0.0175,2.1287,0.748,0.6795,0.362,1.6678,0.7668,0.0687,0.7382,0.4934,0.5049,0.0483,2.2212,0.8161,1.1774,2.3157,1.9464,0.5768,1.7958,0.2322
8.0945,1.9133,8.6292,0.4686,0.0186,2.7412,0.7409,0.2762,1.507,1.9516,0.7258,0.0749,0.7344,0.4794,0.5142,0.0452,2.8239,0.7347,1.1373,2.4116,1.5123,0.4956,0.3124,0.3319
8.1945,1.3932,7.01,0.4885,0.0203,4.4409,0.7484,0.495,1.4568,4.1343,0.7075,0.0744,0.7207,0.4584,0.5223,0.0406,1.9253,0.4374,1.1302,2.4172,1.6411,0.2572,1.2543,0.3168
8.2944,1.9816,8.7025,0.5047,0.0224,2.206,0.7604,0.2588,2.6273,2.151,0.7172,0.0661,0.6956,0.43,0.5245,0.0352,0.8634,0.7086,1.1464,2.3412,2.0415,0.4504,2.3662,0.2105
8.3943,1.4093,6.9172,0.5131,0.0248,1.2874,0.7677,0.5342,1.7349,1.2587,0.7481,0.0502,0.6619,0.3957,0.519,0.0304,1.008,0.7774,1.1655,2.2256,1.0361,0.2551,2.6866,0.0965
8.4943,1.5469,7.0257,0.511,0.0272,1.3668,0.766,0.6981,2.1474,1.0865,0.7829,0.0281,0.6258,0.3597,0.5073,0.0278,0.7118,0.469,1.1696,2.1289,1.8064,0.3354,2.1342,0.2077
8.5942,1.7136,7.8495,0.4969,0.0293,1.6355,0.7559,0.914,1.3038,1.2177,0.8031,0.0109,0.5957,0.329,0.493,0.0283,1.4525,0.5438,1.153,2.0957,2.2421,0.5284,0.9026,0.3259
8.6941,1.1166,5.5276,0.4714,0.0307,3.2121,0.7423,0.462,0.8215,2.3217,0.794,0.0342,0.5784,0.3124,0.4809,0.0308,2.9,0.6988,1.124,2.1242,0.6704,0.1619,0.597,0.3635
8.7941,1.6055,7.384,0.4367,0.0311,4.2606,0.7319,0.177,1.0364,4.3595,0.7489,0.0632,0.5749,0.316,0.4745,0.0336,2.6828,0.4557,1.1018,2.1672,2.0495,0.4843,1.8655,0.2969
8.894,1.32,6.1438,0.3975,0.0306,2.1673,0.7299,0.1871,0.8025,2.0238,0.6705,0.0893,0.58,0.3384,0.4748,0.0351,1.7911,0.3633,1.1059,2.165,2.5079,0.6759,2.5008,0.1634
8.9939,1.1127,5.5931,0.3595,0.029,1.0996,0.7369,0.6619,0.5595,0.9024,0.5738,0.1096,0.5849,0.3718,0.4793,0.0348,1.2781,0.5664,1.1431,2.0756,0.4173,0.2735,2.3158,0.0673
9.0939,1.5461,6.8137,0.3299,0.0265,1.2902,0.748,0.6554,1.7246,1.0514,0.4905,0.122,0.5818,0.4069,0.4842,0.0326,0.8169,0.4118,1.2025,1.8861,2.358,0.4298,1.3815,0.1792
9.1938,0.8983,4.6998,0.314,0.0233,1.7358,0.7553,1.0675,1.3627,1.3721,0.4666,0.1256,0.5663,0.4367,0.4859,0.029,1.7211,0.1416,1.2628,1.6148,2.8214,0.5842,0.0894,0.257
9.2937,1.3352,5.949,0.3135,0.0198,3.1598,0.7508,0.6327,2.2417,2.9873,0.523,0.1203,0.5387,0.4572,0.4829,0.0248,1.0896,0.3774,1.3038,1.3101,0.5795,0.1224,1.3301,0.2421
9.3937,1.224,5.563,0.3246,0.0166,3.9981,0.7291,0.3864,1.4482,3.6659,0.6277,0.1071,0.5034,0.4673,0.476,0.0214,2.4025,0.3405,1.3133,1.0531,2.7969,0.5698,2.2166,0.1598
9.4936,0.8552,4.3581,0.3411,0.0142,2.2171,0.6892,0.3939,0.9694,1.4189,0.7359,0.0882,0.4676,0.4684,0.4675,0.0202,2.1526,0.0704,1.2891,0.9431,3.1614,0.6817,2.3717,0.0744
9.5935,1.3491,5.8777,0.3577,0.0133,0.8885,0.6355,0.7213,1.0375,1.0521,0.8177,0.0665,0.4386,0.4635,0.4607,0.0211,1.7944,0.1925,1.2381,1.0084,1.0597,0.2265,1.7588,0.1552
9.6935,0.7861,4.2908,0.3708,0.0137,1.4146,0.578,0.3888,1.1863,1.467,0.8574,0.0466,0.4201,0.4558,0.4577,0.0228,0.9672,0.1801,1.1738,1.1608,3.3577,0.7021,0.5921,0.2341
9.7934,1.0665,4.7867,0.3794,0.015,1.249,0.5324,1.257,2.2976,1.0858,0.8502,0.036,0.4107,0.4482,0.4586,0.0239,1.4105,0.153,1.1131,1.3054,3.4979,0.799,0.7515,0.2443
9.8933,1.109,5.2791,0.3838,0.0164,3.0207,0.5152,0.6437,1.5484,3.1489,0.8007,0.039,0.4045,0.4416,0.4615,0.0235,1.3864,0.2458,1.0709,1.3938,1.5556,0.4093,1.8173,0.1835
9.9933,0.6747,3.4835,0.3855,0.0176,3.3336,0.5338,0.7811,1.6836,3.4625,0.7227,0.0476,0.3954,0.4353,0.4639,0.0213,1.495,0.1016,1.0544,1.4114,3.8788,0.7611,2.2729,0.1041
10.0932,1.1693,5.268,0.3858,0.0185,1.7101,0.5806,0.5396,0.6798,1.6237,0.6382,0.0542,0.3799,0.4273,0.4636,0.0177,1.4101,0.2186,1.0595,1.3662,3.7215,0.7465,1.9861,0.1464
10.1931,0.8024,3.9668,0.3853,0.0189,1.226,0.6389,0.3197,0.3677,0.9488,0.5742,0.0559,0.3588,0.4158,0.4601,0.0134,0.8699,0.4062,1.0734,1.2864,2.0198,0.43,1.0565,0.2273
10.2931,0.8767,4.0439,0.3835,0.019,1.8678,0.6928,0.4985,1.6049,1.2629,0.5515,0.0527,0.3367,0.4001,0.4541,0.0099,0.7125,0.2752,1.0803,1.2187,4.3602,0.8831,0.1988,0.2619
10.393,1.0869,4.943,0.379,0.0188,1.4606,0.7309,1.2856,0.9441,0.7894,0.5692,0.0455,0.3202,0.3809,0.4474,0.0102,0.8764,0.249,1.0678,1.2156,3.896,0.7973,1.371,0.2175
10.4929,0.591,3.1836,0.3703,0.0183,3.4058,0.7465,0.7329,2.0378,3.5052,0.6064,0.0359,0.3149,0.3605,0.4416,0.0137,1.0509,0.5266,1.0315,1.2995,2.3466,0.4774,2.0802,0.1271
10.5928,1.0587,4.759,0.3561,0.0177,2.8076,0.7377,0.8264,0.7892,3.0788,0.6411,0.026,0.3207,0.3419,0.4374,0.0179,0.8442,0.4787,0.9764,1.4405,4.6044,0.9174,2.1098,0.083
10.6928,0.8311,4.0967,0.3363,0.0168,1.2223,0.7058,0.3806,1.0584,1.3808,0.6603,0.0183,0.3326,0.3278,0.4344,0.0212,1.5618,0.2793,0.9178,1.5815,3.8843,0.8236,1.4587,0.1698
10.7927,0.7392,3.5636,0.3123,0.0158,0.8145,0.656,0.0728,0.7411,0.9088,0.6611,0.0161,0.3434,0.32,0.4311,0.0232,2.6149,0.5307,0.8771,1.6704,2.6455,0.5828,0.3546,0.2319
10.8926,1.0873,4.9049,0.2876,0.0147,1.3445,0.5969,0.6467,0.7754,1.4209,0.647,0.0201,0.3475,0.3185,0.4261,0.0239,2.3412,0.6005,0.8724,1.6747,4.7172,0.9479,0.8482,0.2259
10.9926,0.598,3.1817,0.2676,0.0137,1.2161,0.5405,0.9636,1.9262,0.9583,0.6242,0.0272,0.343,0.3223,0.4189,0.0237,0.9097,0.3805,0.9058,1.5841,3.6555,0.8187,1.7473,0.1641
11.0925,1.0123,4.4432,0.2581,0.0131,2.919,0.501,0.8225,1.127,3.6298,0.5983,0.0356,0.3314,0.3299,0.4102,0.0232,1.1824,0.4823,0.9629,1.4099,2.7448,0.634,2.0628,0.0996
11.1924,0.9093,4.3341,0.2624,0.0131,2.2806,0.4898,0.8309,1.4305,2.6429,0.5722,0.0443,0.3176,0.34,0.4011,0.0235,1.2058,0.6287,1.0226,1.1833,4.6552,0.8896,1.7059,0.1445
11.2924,0.7048,3.2889,0.279,0.0137,1.3989,0.5083,0.0681,0.3143,1.27,0.5468,0.0521,0.3081,0.3514,0.3933,0.0249,0.6429,0.4417,1.0683,0.9571,3.2799,0.6439,0.8007,0.2043
11.3923,1.0847,4.9701,0.3023,0.0148,1.1092,0.5461,0.0797,0.3161,0.8209,0.5223,0.0578,0.3085,0.3626,0.3874,0.0273,1.2909,0.3973,1.0906,0.8072,2.8148,0.6011,0.346,0.2169
