Frequency (Hz),Red_X,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
29.58,0.973,0.3271,0.3049,0.1973,0.7461,0.3071,0.3071,0.301,0.5914,0.0197,0.0321,0.0221,0.2146,0.2066
29.68,0.9226,0.5386,0.2682,0.1599,0.8438,0.7802,0.7802,0.4869,0.8353,0.0714,0.0329,0.0873,0.0952,0.2778
29.7799,0.8821,0.4893,0.2051,0.1405,0.7152,0.8726,0.8726,0.5,0.8407,0.0935,0.0189,0.0713,0.1509,0.3793
29.8798,0.8571,0.2693,0.1866,0.2714,0.6687,0.5057,0.5057,0.2528,0.5985,0.1213,0.0301,0.1118,0.2187,0.1952
29.9798,0.8686,0.0711,0.2401,0.5468,0.6432,0.3495,0.3495,0.2397,0.7179,0.1045,0.0308,0.1584,0.1952,0.175
30.0797,0.926,0.2899,0.2533,0.3606,0.5147,0.4082,0.4082,0.2686,1.0982,0.0636,0.0308,0.1803,0.1443,0.2822
30.1796,0.9672,0.5046,0.2487,0.3018,0.6678,0.1456,0.1456,0.1125,1.0287,0.1018,0.061,0.0187,0.0815,0.1276
30.2796,0.9729,0.312,0.3078,0.2347,0.8338,0.4967,0.4967,0.3418,0.6206,0.1142,0.091,0.1729,0.1247,0.1096
30.3795,1.0216,0.088,0.3688,0.2834,0.7145,0.8271,0.8271,0.3889,0.4619,0.0722,0.074,0.1566,0.1816,0.1791
30.4794,1.034,0.1675,0.4324,0.4386,0.7468,0.7428,0.7428,0.2251,0.5182,0.0247,0.0701,0.1453,0.2331,0.0437
30.5794,0.937,0.3204,0.5449,0.4208,0.7972,0.4392,0.4392,0.3711,0.5833,0.0654,0.0534,0.1183,0.1275,0.1309
30.6793,0.8544,0.2524,0.6312,0.0681,0.7683,0.6139,0.6139,0.3469,0.9152,0.0807,0.0386,0.0887,0.1771,0.1363
30.7792,0.8736,0.288,0.6544,0.4477,0.7164,0.9862,0.9862,0.1562,0.963,0.1038,0.0461,0.1234,0.3576,0.0997
30.8792,0.9603,0.4096,0.6961,0.368,0.4963,1.0497,1.0497,0.3292,0.6544,0.0284,0.063,0.0275,0.2267,0.15
30.9791,1.0127,0.2411,0.7624,0.265,0.5848,0.7743,0.7743,0.3706,0.6475,0.0717,0.083,0.0247,0.1474,0.0625
31.079,0.9341,0.1354,0.7635,0.3376,0.8018,0.208,0.208,0.1486,0.9002,0.097,0.0996,0.092,0.1052,0.1705
31.1789,0.8488,0.1333,0.7079,0.309,0.7575,0.386,0.386,0.2613,0.8076,0.1142,0.0758,0.1326,0.3114,0.2102
