Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
4.6968,3.6995,3.1052,1.4446,1.1038,0.9399,1.8739,4.0588,4.0588,6.3728,4.6899,1.1095,5.9657,2.4439,1.0736,7.9528
4.7968,2.3381,1.8526,0.7271,1.9124,1.5019,3.8154,5.0326,5.0326,7.3556,5.648,0.7746,7.0521,0.8487,1.3509,8.0592
4.8967,2.5355,2.1571,0.8,2.0802,2.8852,3.4235,4.7595,4.7595,6.384,4.6619,1.8726,4.6033,1.3422,1.4916,8.0921
4.9966,3.1472,3.5586,1.3853,1.6155,3.5515,3.8087,4.9145,4.9145,7.9616,4.3779,1.5085,3.0227,1.954,1.6203,7.067
5.0966,3.3745,4.57,1.8412,1.686,3.7073,3.8544,3.2967,3.2967,6.339,2.1012,0.4704,1.3942,1.1468,1.7077,5.6187
5.1965,3.2947,3.781,2.0483,1.7967,2.4846,3.2694,2.0525,2.0525,6.188,1.704,1.6648,2.1005,2.4629,1.6461,5.2768
5.2964,2.9022,1.9731,1.8718,0.9215,1.0975,1.9756,2.9236,2.9236,4.9275,4.5834,2.11,4.9307,2.7445,1.5573,5.5551
5.3964,2.2311,2.7042,1.3293,0.4237,0.7752,1.528,4.2656,4.2656,3.4203,5.0655,1.3256,5.4532,1.4319,1.5758,4.8741
5.4963,3.0241,2.8339,1.3312,1.4564,1.7966,3.0501,4.1332,4.1332,5.1915,3.8793,0.3578,3.804,1.2889,1.6811,3.5227
5.5962,1.0112,1.561,2.2595,1.9531,2.8944,3.9584,4.1086,4.1086,5.2863,3.5579,1.286,3.3477,2.1689,1.6306,2.7688
5.6962,1.6587,1.8631,2.9171,2.1733,2.9592,3.9641,3.1646,3.1646,8.7083,2.4674,1.2825,1.2051,1.3656,1.3038,1.8749
5.7961,2.7007,1.1021,2.7448,1.9563,2.0517,2.7602,1.4477,1.4477,9.3418,2.6791,0.2889,0.8567,1.7789,1.1949,0.3342
5.896,3.3348,2.5379,1.8728,0.628,0.9825,1.4926,2.061,2.061,10.3501,4.0032,1.0965,4.0697,2.6717,1.3954,1.7866
5.996,3.1773,4.8341,1.2726,0.6571,0.1597,1.1497,3.2973,3.2973,10.8607,3.2675,1.6005,5.3622,2.1504,1.1856,2.5231
6.0959,0.6366,4.5076,1.7612,1.8659,1.1406,2.1149,3.5311,3.5311,9.4184,2.7889,1.0134,4.1213,1.354,0.6101,2.1161
6.1958,2.1467,2.3026,2.0329,2.913,2.3627,2.6528,4.2028,4.2028,10.2159,3.6603,0.8894,3.13,2.602,0.4453,1.9367
6.2957,1.1336,1.7891,1.6331,3.1881,2.4905,3.5143,2.6253,2.6253,8.0435,3.2652,1.7671,0.5795,1.5944,0.4575,2.611
6.3957,2.2844,2.0304,0.8453,2.1538,2.2664,2.5435,1.7444,1.7444,8.1164,2.8179,1.7787,1.1138,1.2829,0.5042,2.9384
6.4956,0.3588,3.3694,0.234,1.1813,0.794,1.7842,1.6676,1.6676,6.6214,2.8063,0.8483,4.2447,2.4196,0.6886,3.3576
6.5955,2.7912,4.6402,0.2577,0.3246,0.3222,0.7059,2.3169,2.3169,6.0275,2.2281,0.4415,4.7093,2.2966,0.7957,4.2226
6.6955,2.2442,4.1214,0.492,2.1043,1.122,1.6784,2.99,2.99,6.5659,2.6146,1.1631,3.0522,1.8311,1.137,4.5654
6.7954,2.6673,3.372,0.946,3.3176,1.7563,2.5473,3.5869,3.5869,5.6189,4.0888,0.8685,2.4816,2.41,1.4612,3.9684
6.8953,1.5591,3.8556,1.2071,3.7106,2.0968,3.1225,3.0105,3.0105,6.4378,2.9238,0.3441,0.9924,1.8517,1.4649,3.0487
6.9953,1.5114,3.7208,1.0177,2.6196,2.0143,2.1839,1.6388,1.6388,3.6224,2.6387,1.498,1.1414,0.5673,1.49,2.8955
7.0952,1.8312,2.9893,0.4611,1.7631,0.6062,1.3936,1.3299,1.3299,2.1591,2.2698,1.7996,3.2966,1.8474,1.6689,3.1805
7.1951,1.7783,2.2787,0.3238,0.8278,0.3469,0.5477,2.2346,2.2346,1.3537,1.6931,0.9777,3.6595,2.6089,1.4645,3.0389
7.2951,1.4555,1.847,0.6996,1.3169,1.0469,1.1933,2.2675,2.2675,2.8607,2.428,0.3729,2.917,1.7089,1.0185,2.8489
7.395,0.4397,2.6062,0.7863,2.3742,1.3832,1.8723,3.18,3.18,2.765,3.6653,1.2009,2.7202,2.316,1.0462,3.1094
7.4949,2.4479,3.4608,0.7178,3.1736,2.1027,2.5344,2.3505,2.3505,3.4945,2.8905,1.0081,0.7514,2.0486,0.9316,3.3581
7.5949,1.7151,3.0691,0.6344,2.7937,2.0236,2.2966,1.5495,1.5495,2.6302,2.8767,0.2601,0.5233,0.5829,0.4018,3.1739
7.6948,1.2122,1.6542,0.4677,2.2271,0.7138,1.3196,1.0402,1.0402,1.8308,2.2435,1.0666,2.7093,1.3808,0.2022,2.6011
7.7947,0.4842,1.4246,0.5944,1.5455,0.2386,0.4832,1.8058,1.8058,1.9255,0.9442,1.3369,3.5675,2.369,0.1314,2.2726
7.8947,0.5923,1.5387,1.0651,0.3878,1.3899,1.2876,2.3758,2.3758,2.7855,1.7772,0.7062,2.77,1.6055,0.7369,2.7122
