Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
,,,2.1728,1.0677,,,3.3097,3.3195
,,,4.552,3.0549,,,3.3028,3.4676
,,,4.2872,3.5145,,,3.2446,3.3605
,,,2.5878,2.046,,,3.3604,3.4776
,,,1.2116,1.367,,,3.0053,3.5097
,,,0.9475,0.831,,,3.4111,3.5364
,,,3.5553,1.7596,,,3.4812,3.4025
,,,4.2427,3.095,,,3.2198,3.4854
,,,4.6689,3.5135,,,3.2619,3.4276
,,,1.1413,1.1523,,,2.9812,3.251
,,,0.5928,1.1794,,,3.0937,3.1948
,,,2.9322,2.1221,,,3.1048,3.1489
,,,4.1527,2.7386,,,3.1952,3.3859
,,,5.9891,4.6214,,,3.4618,3.5574
,,,2.9423,2.7934,,,3.3304,3.4883
,,,0.7993,1.2992,,,3.4823,3.4508
,,,2.5007,1.9194,,,3.4361,3.6506
,,,3.1735,2.2795,,,3.4457,3.7561
,,,5.9104,3.7323,,,3.7491,3.6556
,,,5.1671,4.3232,,,3.6116,3.489
,,,2.5071,2.0618,,,3.4355,3.6174
,,,1.5053,1.4273,,,3.2257,3.5975
,,,2.8025,2.3522,,,3.4586,3.5801
,,,4.9499,2.9315,,,3.7138,3.5748
,,,6.9802,5.0792,,,3.5766,3.5596
,,,4.9318,4.2468,,,3.561,3.7652
,,,1.1841,0.8146,,,3.4524,3.6393
,,,2.5048,1.8824,,,3.5585,3.7529
,,,3.8242,2.4131,,,3.5021,3.8477
,,,7.0738,4.6453,,,3.5922,3.9112
,,,6.7118,5.5789,,,3.5905,3.8754
,,,4.1244,3.2256,,,3.4158,3.6962
,,,1.3505,1.2136,,,3.6702,3.9135
,,,3.1029,2.1899,,,3.4756,4.0285
,,,5.9578,3.7106,,,3.6883,4.0836
,,,7.0259,5.2397,,,3.9467,4.0092
,,,6.966,5.2092,,,3.8344,3.85
,,,1.2978,0.8989,,,3.8336,3.9341
,,,2.2179,1.6376,,,3.4813,3.8587
,,,5.2606,3.7982,,,3.7026,3.9178
