Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
45.869,0.0156,0.0113,0.1145,0.0274,0.0834,0.087,0.051,0.0997,0.109,0.0794,0.2662,0.6868,0.9913,0.0743,0.0471,0.0892,0.1802,0.2538,0.2626,138.9784,0.0977,0.0662,0.1803,0.2238,0.1696,0.2931
45.969,0.0184,0.0108,0.1183,0.0124,0.0865,0.1108,0.0547,0.0962,0.1107,0.0825,0.2973,0.5908,1.4989,0.2576,0.0432,0.0998,0.1846,0.2156,0.2822,32.3621,0.096,0.0712,0.18,0.2192,0.1521,0.16
46.0689,0.0207,0.0102,0.1185,0.0099,0.0865,0.1281,0.0567,0.0875,0.1117,0.0796,0.3163,0.4907,2.2105,0.7888,0.0361,0.1077,0.1878,0.1702,0.3128,107.4712,0.0955,0.0758,0.1943,0.2083,0.1435,0.2001
46.1688,0.0218,0.0097,0.1154,0.0246,0.0827,0.1368,0.0563,0.0744,0.1117,0.0706,0.3218,0.4013,2.2405,1.0521,0.0266,0.1121,0.188,0.149,0.3355,218.7238,0.096,0.0805,0.2138,0.1964,0.1501,0.3473
46.2688,0.0215,0.0095,0.1103,0.0387,0.0751,0.1358,0.0533,0.0582,0.1114,0.0567,0.3134,0.3376,1.5034,0.5948,0.0171,0.1123,0.1845,0.1744,0.3392,308.2988,0.0974,0.0856,0.2281,0.1909,0.1694,0.4867
46.3687,0.0196,0.0098,0.1054,0.0493,0.0644,0.1253,0.048,0.041,0.1115,0.0401,0.2919,0.306,0.2896,0.1257,0.014,0.1082,0.1787,0.2225,0.3213,364.26,0.0999,0.0911,0.2311,0.1959,0.1923,0.5888
46.4686,0.0168,0.0103,0.1026,0.0546,0.0529,0.1073,0.0413,0.0265,0.1126,0.0263,0.2601,0.298,0.6246,0.2923,0.0215,0.1002,0.1732,0.2627,0.2876,379.2021,0.1029,0.0969,0.2217,0.2094,0.211,0.6409
46.5686,0.014,0.0109,0.1027,0.0535,0.0452,0.0867,0.0346,0.0225,0.1142,0.0264,0.2228,0.2968,1.9254,0.4605,0.0316,0.0892,0.1708,0.2792,0.2526,350.5666,0.1061,0.1025,0.2039,0.2246,0.2203,0.6373
46.6685,0.0128,0.0115,0.105,0.0456,0.0471,0.0748,0.0303,0.0298,0.1151,0.0385,0.1879,0.2903,2.8107,0.5972,0.0401,0.0766,0.1733,0.2667,0.2358,281.0309,0.1085,0.1075,0.1864,0.2348,0.218,0.578
46.7684,0.014,0.012,0.1079,0.0314,0.0586,0.085,0.0299,0.0389,0.1143,0.0512,0.1656,0.2743,3.3516,0.5782,0.0456,0.0649,0.1794,0.2277,0.2476,178.5255,0.1096,0.1112,0.1799,0.2361,0.2048,0.4682
46.8684,0.0169,0.0122,0.1101,0.0133,0.0741,0.114,0.0329,0.0451,0.1112,0.0597,0.1635,0.2491,3.1451,0.3325,0.0473,0.0578,0.1864,0.1746,0.2769,58.5248,0.1091,0.1134,0.1889,0.2281,0.184,0.3188
46.9683,0.0197,0.0123,0.1109,0.0145,0.0889,0.1493,0.0368,0.0473,0.1067,0.0623,0.1786,0.2157,3.2303,0.8143,0.0449,0.0585,0.1911,0.1369,0.3043,85.9325,0.1069,0.1135,0.2072,0.2139,0.1626,0.1497
47.0682,0.0216,0.0123,0.1101,0.036,0.1002,0.1829,0.0397,0.0465,0.1026,0.0587,0.2008,0.1729,4.6063,0.9284,0.0387,0.0665,0.1914,0.1522,0.316,206.6259,0.1036,0.1115,0.2242,0.1996,0.1507,0.098
47.1682,0.022,0.0122,0.1081,0.056,0.1065,0.2098,0.0411,0.0459,0.1013,0.0497,0.2215,0.1171,3.9776,0.5292,0.0293,0.0782,0.1871,0.2038,0.3072,305.8491,0.0998,0.1071,0.2319,0.1918,0.1559,0.2606
47.2681,0.0208,0.0123,0.1052,0.071,0.1067,0.2268,0.0412,0.0504,0.1038,0.0378,0.2362,0.0448,3.0201,0.1557,0.0187,0.0902,0.18,0.253,0.2808,369.3143,0.0963,0.1004,0.227,0.1941,0.1755,0.4205
