Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y
,,,875.0365,16.5993,1260.191,421.3115,,,556.1949,692.2087,130.9473,298.5798,1039.846,2.0839
,,,840.2283,17.7842,495.2272,419.8255,,,842.7781,556.3546,235.0239,258.0659,578.0665,1.7711
,,,1127.748,18.8673,597.59,138.6893,,,367.4272,49.4614,304.5431,117.5995,1079.163,1.7265
,,,1293.695,20.4753,939.4213,406.0139,,,904.3717,226.4337,147.9368,328.6084,643.4442,1.9571
,,,785.2648,22.0567,1518.287,690.4229,,,934.3473,526.0741,149.3921,239.5486,1461.564,2.1039
,,,963.9877,21.2173,942.1904,646.4269,,,404.0088,523.4306,80.8607,268.2724,895.4712,2.4413
,,,,,883.3246,123.4025,,,506.9478,41.861,126.041,360.9472,1770.113,2.6399
,,,,,1605.963,453.5974,,,387.4528,56.8091,137.1377,254.3476,677.3069,2.3214
,,,,,764.6876,401.5557,,,,,120.0895,281.0253,911.0582,2.1891
,,,,,422.2223,421.4499,,,,,156.529,364.8555,1828.38,2.515
,,,,,874.3263,646.7593,,,,,114.1912,232.881,1509.559,2.9729
,,,,,1403.233,582.1164,,,,,194.1756,179.7213,751.1824,2.1172
,,,,,1194.964,344.6474,,,,,128.778,365.0221,125.7262,2.2698
,,,,,788.0608,793.1219,,,,,160.6046,380.0781,1265.96,2.4802
,,,,,1225.935,1054.73,,,,,145.9738,341.8827,353.3824,2.6836
,,,,,1229.324,862.9269,,,,,128.2589,293.5437,195.0589,2.3125
,,,,,1187.294,438.1041,,,,,244.0256,356.3916,484.5081,2.525
,,,,,149.1771,297.9546,,,,,7.5467,190.5843,487.5227,2.9285
,,,,,1280.864,384.0352,,,,,280.7327,547.0869,1532.213,3.6266
,,,,,1039.854,423.2965,,,,,232.5418,480.4117,748.4003,3.2686
,,,,,837.4473,175.0413,,,,,329.983,366.335,1024.574,2.5774
,,,,,875.6052,272.5003,,,,,319.6266,365.5562,1268.839,3.0285
,,,,,599.4597,572.5245,,,,,96.1165,474.3119,1440.708,3.6477
,,,,,1348.678,497.514,,,,,83.1678,400.8589,1089.341,3.3557
,,,,,205.6126,409.4082,,,,,174.8376,581.1037,1268.102,3.3406
,,,,,1584.05,512.028,,,,,162.122,478.9974,1177.077,3.5401
,,,,,1090.151,777.6198,,,,,112.8349,280.5794,482.0352,4.1517
,,,,,443.4105,243.9338,,,,,100.3041,488.1686,1506.907,4.2264
,,,,,656.4461,398.0758,,,,,88.3751,500.5815,1424.762,3.7213
,,,,,997.0551,984.5696,,,,,204.3028,310.0375,1285.213,3.5671
,,,,,2040.707,1129.404,,,,,86.9405,442.3531,986.0348,3.7394
,,,,,1247.945,767.1799,,,,,132.7029,554.7086,710.9874,3.3227
,,,,,586.2181,303.7985,,,,,103.8942,422.3084,769.8,3.2739
,,,,,714.4437,699.3455,,,,,195.448,525.0078,539.2291,3.0147
,,,,,1655.531,271.0689,,,,,64.226,609.2885,1727.306,3.0399
,,,,,854.5786,386.2073,,,,,392.2372,408.9512,1246.344,2.2495
,,,,,1453.079,373.3123,,,,,490.9826,488.3805,1672.715,2.1712
,,,,,1696.605,80.113,,,,,416.2854,694.6332,1564.198,1.6979
,,,,,753.0131,775.7034,,,,,709.0732,660.0538,588.6876,1.8256
,,,,,1660.12,888.1536,,,,,661.3134,318.9098,819.3762,1.9657
,,,,,670.722,600.9257,,,,,175.2793,553.6954,1242.336,2.4779
,,,,,1875.396,368.3292,,,,,376.5359,562.9984,1364.168,2.5049
,,,,,1486.921,301.0338,,,,,248.2145,727.5784,833.949,2.2362
,,,,,1009.403,287.5796,,,,,303.8595,641.3777,400.4774,1.9509
,,,,,2320.057,439.3496,,,,,591.75,456.259,1586.968,2.9739
,,,,,1335.587,341.9675,,,,,369.548,450.02,1611.108,3.0652
,,,,,983.3116,979.484,,,,,50.8301,546.25,1121.154,2.6042
,,,,,1025.623,1565.222,,,,,102.6985,493.4404,632.5816,1.4205
,,,,,1922.583,1121.837,,,,,250.6913,555.7665,1619.765,1.9203
,,,,,1230.117,1029.42,,,,,327.1842,741.5517,568.6202,2.7441
,,,,,926.4453,622.0144,,,,,77.2602,585.7412,1151.805,1.6289
,,,,,2052.279,255.2301,,,,,304.5453,534.9971,1842.043,1.8179
,,,,,861.1689,735.0162,,,,,82.0705,656.7369,1816.165,3.3092
,,,,,887.5092,949.9792,,,,,361.7107,899.98,988.4985,3.0867
,,,,,768.8972,861.3373,,,,,246.9698,645.028,894.0035,2.287
,,,,,1359.997,855.9321,,,,,682.2134,411.6263,1651.041,2.7636
,,,,,1412.467,550.3214,,,,,528.6689,604.3219,2247.404,3.836
,,,,,610.8366,570.1555,,,,,482.2848,680.3257,1939.783,2.4771
,,,,,977.9012,864.2339,,,,,551.307,578.3828,1466.172,2.6495
,,,,,784.1886,922.5182,,,,,147.7226,515.1867,2286.458,4.2799
,,,,,995.4449,1045.283,,,,,281.1768,557.5496,2434.393,3.6512
,,,,,1098.235,1353.047,,,,,278.9859,530.6069,646.4495,2.2501
,,,,,1461.839,885.0745,,,,,139.0717,729.1938,770.4069,2.8344
,,,,,1594.841,427.5682,,,,,348.6324,789.7544,1720.938,3.4746
,,,,,1226.784,1120.339,,,,,339.0516,869.3578,1041.752,3.3734
,,,,,211.0159,1023.319,,,,,555.7989,551.4929,1643.278,1.9385
,,,,,730.8754,941.9047,,,,,396.8151,460.953,2210.523,2.0734
,,,,,1399.64,1042.198,,,,,151.3575,878.0555,2047.13,3.1774
,,,,,394.5095,795.3426,,,,,465.0997,821.0063,352.0028,2.7445
,,,,,1106.436,476.9401,,,,,714.4572,461.9234,1272.971,2.1855
,,,,,942.2996,650.992,,,,,279.8864,702.0051,138.9268,1.6495
,,,,,706.1069,829.3547,,,,,350.142,528.4223,771.0721,1.0941
,,,,,124.3538,946.8126,,,,,104.9035,810.5694,2138.453,2.3863
,,,,,535.2978,914.1062,,,,,486.0167,605.7908,2124.473,3.1248
,,,,,736.9477,1142.835,,,,,567.5345,524.0024,1162.541,2.3385
,,,,,319.2264,1264.121,,,,,378.1226,814.0922,618.4371,1.5972
,,,,,1218.288,857.1859,,,,,584.598,564.0693,1093.424,1.9016
,,,,,153.8406,769.6005,,,,,404.6008,789.9089,1102.996,2.5603
,,,,,1398.782,817.3493,,,,,111.1539,700.9096,996.5145,3.3506
,,,,,986.3936,379.2722,,,,,159.3387,846.4877,1570.3,3.4259
,,,,,1044.59,627.0978,,,,,221.1236,1067.087,513.7117,2.8617
,,,,,1625.084,792.1627,,,,,470.3764,607.4702,634.6312,2.6493
,,,,,349.4611,861.0961,,,,,588.7438,530.4949,1586.308,3.2337
,,,,,819.5926,845.3329,,,,,448.722,959.0576,1710.746,3.7891
,,,,,710.1161,792.3683,,,,,929.2933,638.4233,362.2708,2.7064
,,,,,1840.58,529.2508,,,,,998.6508,1024.652,575.7314,3.3728
,,,,,1673.734,428.7307,,,,,1104.294,1055.714,1310.515,4.0776
,,,,,807.7642,1374.206,,,,,1416.249,652.6303,846.483,3.6691
,,,,,1388.615,1153.811,,,,,797.9738,318.7038,1482.532,2.9282
,,,,,1222.682,737.3543,,,,,731.0356,673.9346,1398.803,2.1029
,,,,,1261.726,533.4734,,,,,913.0129,577.4575,1702.487,2.6379
,,,,,982.8716,1105.446,,,,,603.4076,868.8165,541.699,2.442
,,,,,1489.22,923.0004,,,,,562.6635,874.0685,899.3607,2.355
,,,,,2078.443,718.2906,,,,,189.3534,598.9051,319.0498,1.7773
,,,,,348.7825,1311.293,,,,,371.7611,488.1866,242.4438,1.747
,,,,,824.7493,1612.223,,,,,328.6418,841.6912,1100.816,2.1148
,,,,,1152.698,869.7241,,,,,301.0708,443.4233,651.7228,1.7459
,,,,,2288.727,191.0903,,,,,421.0958,1001.443,1023.713,1.8048
,,,,,1210.747,837.6876,,,,,642.1664,851.1025,731.4246,1.506
,,,,,2230.133,1004.025,,,,,833.619,580.1635,837.0778,1.309
,,,,,1463.105,548.1879,,,,,485.6301,973.8149,1176.198,1.2797
,,,,,57.8529,1249.345,,,,,502.9129,1163.023,834.763,0.6932
,,,,,206.7993,1064.507,,,,,28.7987,403.849,892.6179,1.6526
,,,,,1629.19,202.4418,,,,,523.2989,645.0615,1702.726,2.5718
,,,,,2654.608,537.1528,,,,,490.1682,667.6201,1809.83,2.1844
,,,,,1145.049,225.5805,,,,,257.1664,988.7081,1178.936,1.5014
,,,,,923.9796,833.0566,,,,,494.7883,776.5566,1223.554,2.1885
,,,,,579.77,1012.576,,,,,402.2898,572.6569,706.874,2.4783
,,,,,1838.289,1064.05,,,,,310.2768,762.5792,1695.245,2.5548
,,,,,1338.095,1408.541,,,,,230.4304,608.9713,2009.183,1.9975
,,,,,1209.564,1353.95,,,,,127.5581,1126.516,2253.225,3.164
,,,,,1212.289,658.3362,,,,,804.5241,840.9856,598.0414,3.2145
,,,,,436.5189,351.9482,,,,,833.7028,1211.685,1009.162,2.6619
,,,,,1958.063,573.0112,,,,,987.1187,506.6298,1504.488,1.4324
,,,,,1421.452,777.9776,,,,,415.2323,503.9782,2226.357,3.0401
,,,,,1669.968,743.8611,,,,,321.7817,917.9715,2118.13,3.3125
,,,,,1658.803,190.9549,,,,,450.7491,861.7882,778.5297,2.0486
,,,,,712.6841,925.5338,,,,,813.3051,1136.051,559.6443,1.5915
,,,,,1426.645,1073.551,,,,,936.223,201.9043,600.0984,1.5677
,,,,,889.8207,857.8676,,,,,279.718,795.1033,516.1163,1.5023
,,,,,1712.401,401.4067,,,,,333.4484,821.8685,565.7483,1.246
,,,,,1448.229,658.9037,,,,,345.6183,1152.964,905.4712,1.6956
,,,,,887.787,1289.096,,,,,898.3054,650.567,2250.862,2.3061
,,,,,1112.821,835.8527,,,,,847.0474,599.6035,1231.396,1.9507
,,,,,1297.249,688.2504,,,,,294.2741,938.0107,489.9515,1.0174
,,,,,1285.172,512.4836,,,,,322.8096,744.7973,860.9374,1.0694
,,,,,480.8035,608.0121,,,,,361.9781,618.4589,945.7485,1.5087
,,,,,1363.855,1107.231,,,,,628.3805,764.0311,701.5905,1.612
,,,,,1727.305,964.8944,,,,,613.7064,875.7849,760.9074,0.8979
,,,,,793.0295,206.9105,,,,,1083.594,674.9142,1212.518,1.4126
,,,,,1157.154,139.3411,,,,,954.1786,1055.848,150.9731,1.9759
,,,,,616.8218,562.0215,,,,,1445.829,541.7213,503.8397,2.0716
,,,,,1376.134,417.8908,,,,,1852.215,752.4017,428.5082,2.0439
,,,,,678.1683,1047.323,,,,,1585.931,1155.637,1036.568,1.9612
,,,,,1277.927,1147.212,,,,,1660.412,569.9651,1000.4,1.1699
,,,,,1009.714,535.0698,,,,,1096.266,691.4003,614.9152,1.0172
,,,,,1168.224,133.3589,,,,,977.5127,506.0954,1001.01,1.0956
,,,,,814.0034,293.5405,,,,,1037.235,725.5848,251.4627,0.6182
,,,,,1402.969,377.1541,,,,,775.3113,1143.449,660.8441,0.4796
,,,,,1427.055,488.4226,,,,,734.8616,746.2234,1014.443,1.0958
,,,,,831.6738,374.517,,,,,294.0004,408.1666,1980.178,1.4697
,,,,,1344.317,303.6036,,,,,679.333,433.7078,1344.445,1.2173
,,,,,889.5692,513.7669,,,,,807.6327,847.0255,756.0276,0.427
,,,,,1010.491,574.9682,,,,,1027.801,616.5495,1371.292,0.6706
,,,,,1615.872,1101.116,,,,,1154.398,582.5703,1276.563,1.3012
,,,,,823.9305,1228.579,,,,,905.6794,909.3062,434.4116,1.2574
,,,,,877.3217,848.5767,,,,,900.6419,772.3815,817.4294,0.4664
,,,,,670.6182,580.1331,,,,,680.1937,768.3618,1396.41,1.2634
,,,,,1143.263,857.69,,,,,650.6545,740.5482,1373.534,1.5202
,,,,,786.8475,938.825,,,,,889.0651,473.4568,865.224,0.5816
,,,,,507.4967,822.8399,,,,,408.1127,806.394,687.54,0.9954
,,,,,1273.054,761.7973,,,,,608.1201,647.8731,914.4057,0.913
,,,,,659.9932,533.7141,,,,,399.7405,456.3021,298.4455,0.606
,,,,,974.139,155.8058,,,,,224.914,875.6697,495.1996,0.4365
,,,,,1220.891,187.9456,,,,,366.0166,625.1761,1023.855,0.7484
,,,,,1276.456,444.7439,,,,,19.6951,509.7814,1120.104,0.7141
,,,,,1139.145,766.0851,,,,,377.6655,594.6264,551.0632,0.1448
,,,,,353.6483,169.4889,,,,,333.5262,578.4421,579.7806,0.4786
,,,,,351.0628,597.4903,,,,,156.9709,894.384,,
,,,,,1567.914,547.2061,,,,,279.5591,580.2484,,
,,,,,1721.624,823.1735,,,,,439.0693,451.4069,,
,,,,,2153.269,432.1207,,,,,415.5681,571.8611,,
,,,,,1654.241,620.376,,,,,307.5518,615.1089,,
,,,,,1240.449,1210.784,,,,,379.6522,834.1915,,
,,,,,108.047,792.7822,,,,,313.1348,647.7259,,
,,,,,848.1536,358.9675,,,,,92.4008,837.0359,,
,,,,,845.6547,704.3967,,,,,356.3818,521.077,,
,,,,,830.0261,777.6713,,,,,636.5735,349.1458,,
,,,,,695.0662,518.7042,,,,,451.9737,557.9294,,
,,,,,775.3387,216.6139,,,,,160.1759,745.227,,
,,,,,791.7882,547.6418,,,,,173.1692,592.0785,,
,,,,,1322.294,143.0009,,,,,517.318,477.4583,,
,,,,,1462.846,499.3998,,,,,488.9159,528.5914,,
,,,,,591.5848,489.5078,,,,,386.661,423.7107,,
,,,,,738.903,246.0002,,,,,428.6569,678.639,,
,,,,,1048.728,427.8645,,,,,293.7127,787.5813,,
,,,,,1546.809,913.2709,,,,,501.4366,681.1875,,
,,,,,1104.05,401.433,,,,,939.0671,487.8366,,
,,,,,1642.239,469.3039,,,,,948.8288,190.7298,,
,,,,,686.8319,1167.852,,,,,711.8317,704.4551,,
,,,,,439.4695,656.287,,,,,663.0164,702.1673,,
,,,,,624.1823,322.9538,,,,,602.6473,559.9093,,
,,,,,1934.042,451.0593,,,,,284.7538,541.3267,,
,,,,,1017.378,962.1564,,,,,292.1767,369.3061,,
,,,,,1419.613,580.923,,,,,166.9608,556.5752,,
,,,,,467.8781,475.6055,,,,,281.2323,640.783,,
,,,,,888.3374,983.7732,,,,,508.1063,715.8415,,
,,,,,716.5278,608.267,,,,,548.5486,814.7293,,
,,,,,1340.538,490.7202,,,,,618.4452,616.8077,,
,,,,,741.5992,27.861,,,,,415.26,334.4477,,
,,,,,259.0848,477.1383,,,,,123.7427,475.145,,
,,,,,170.0532,426.5603,,,,,170.0569,693.802,,
,,,,,748.5512,81.1705,,,,,67.7453,527.1078,,
,,,,,1237.402,546.7,,,,,418.9099,452.4773,,
,,,,,1189.498,798.9612,,,,,326.5028,744.3392,,
,,,,,1228.33,648.4576,,,,,219.6375,617.2082,,
,,,,,681.5885,318.9026,,,,,526.132,385.1321,,
,,,,,275.7698,459.1689,,,,,424.1427,672.7177,,
,,,,,870.5878,408.932,,,,,501.7086,689.7776,,
,,,,,710.6645,631.1606,,,,,804.8486,335.8674,,
,,,,,832.8454,495.9269,,,,,662.0157,488.8785,,
